@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute x numeric
@attribute y numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute avgSpeed numeric
@attribute avgAccel numeric
@attribute stdSpeed numeric
@attribute stdAccel numeric
@attribute timeBeforeDrawing numeric
@attribute timeDrawing numeric
@attribute timeBeforeEval numeric
@attribute selectedX numeric
@attribute selectedY numeric

@data
6043,'2019/05/07 18:01:33:899',17,325,330,12,5.366563,10.733126,0.75,113,8.035398,1.6465,5.998405,1.370151,4882,0,0,0.296,0.072
6044,'2019/05/07 18:01:33:927',17,325,330,0,0,0,2.4,114,7.964912,1.65311,6.01904,1.365899,4901,0,0,0.296,0.072
6045,'2019/05/07 18:01:33:948',17,326,330,1,1,0,0.333333,115,7.904348,1.641633,6.027675,1.365452,4931,0,0,0.296,0.072
6046,'2019/05/07 18:01:33:980',17,327,330,1,1,0,0,116,7.844828,1.627481,6.035551,1.36802,4952,0,0,0.296,0.072
6047,'2019/05/07 18:01:40:428',18,197,312,1,0,1,0,1,1,0,0,0,1241,4986,5191,0.184,0.12
6048,'2019/05/07 18:01:40:447',18,197,312,0,0,0,0,2,0.5,0,0.707107,0,1241,4986,5191,0.184,0.12
6049,'2019/05/07 18:01:40:479',18,198,312,1,1,0,0,3,0.666667,0,0.57735,0,1260,4986,5191,0.184,0.12
6050,'2019/05/07 18:01:40:513',18,205,315,10,9.19145,3.939193,0,4,3,0,4.690416,0,1291,4986,5191,0.184,0.12
6051,'2019/05/07 18:01:40:551',18,300,306,104,103.536415,-9.808713,94,5,23.200001,18.799999,45.350857,42.038074,1325,4986,5191,0.184,0.12
6052,'2019/05/07 18:01:40:578',18,439,255,190,178.372681,-65.446091,86,6,51,30,79.261589,46.544601,1363,4986,5191,0.184,0.12
6053,'2019/05/07 18:01:40:600',18,488,218,86,68.631561,-51.82383,104,7,56,40.57143,73.55497,50.868645,1390,4986,5191,0.184,0.12
6054,'2019/05/07 18:01:40:630',18,452,183,71,-50.906639,-49.492565,0,8,57.875,35.5,68.304855,49.231232,1412,4986,5191,0.184,0.12
6055,'2019/05/07 18:01:40:658',18,413,177,45,-44.476727,-6.842573,26,9,56.444443,34.444443,64.037315,46.160351,1441,4986,5191,0.184,0.12
6056,'2019/05/07 18:01:40:679',18,169,178,245,-244.99794,1.00409,0,10,75.300003,31,84.855492,44.862755,1471,4986,5191,0.184,0.12
6057,'2019/05/07 18:01:40:707',18,130,186,47,-46.041328,9.444375,198,11,72.727272,46.18182,80.95195,65.929985,1491,4986,5191,0.184,0.12
6058,'2019/05/07 18:01:40:728',18,89,214,69,-56.98027,38.913353,0,12,72.416664,42.333332,77.192162,64.259888,1520,4986,5191,0.184,0.12
6059,'2019/05/07 18:01:40:756',18,102,218,17,16.248243,4.999459,52,13,68.153847,43.076923,75.487144,61.582546,1540,4986,5191,0.184,0.12
6060,'2019/05/07 18:01:40:778',18,259,184,191,186.672821,-40.425961,0,14,76.928574,40,79.611038,60.276287,1569,4986,5191,0.184,0.12
6061,'2019/05/07 18:01:40:807',18,318,162,81,75.895393,-28.299978,110,15,77.199997,44.666668,76.722321,60.830757,1590,4986,5191,0.184,0.12
6062,'2019/05/07 18:01:40:830',18,360,144,60,55.148705,-23.635159,0,16,76.125,41.875,74.245422,59.819588,1620,4986,5191,0.184,0.12
6063,'2019/05/07 18:01:40:858',18,353,145,8,-7.919596,1.131371,52,17,72.117645,42.470589,73.762184,57.972099,1642,4986,5191,0.184,0.12
6064,'2019/05/07 18:01:40:878',18,270,173,111,-105.176437,35.481209,103,18,74.277779,45.833332,72.144302,58.022564,1670,4986,5191,0.184,0.12
6065,'2019/05/07 18:01:40:898',18,219,198,76,-68.241974,33.45195,17.5,19,74.368423,44.342106,70.112778,56.761211,1689,4986,5191,0.184,0.12
6066,'2019/05/07 18:01:40:924',18,219,198,0,0,0,38,20,70.650002,44.025002,70.239647,55.265503,1709,4986,5191,0.184,0.12
6067,'2019/05/07 18:01:40:945',18,126,355,250,-127.41304,215.095123,250,21,79.190475,53.833332,78.85849,70.155777,1736,4986,5191,0.184,0.12
6068,'2019/05/07 18:01:40:962',18,126,355,0,0,0,250,22,75.590912,62.75,78.788239,80.228508,1757,4986,5191,0.184,0.12
6069,'2019/05/07 18:01:40:992',18,130,358,7,5.6,4.2,7,23,72.608696,60.326088,78.294167,79.241234,1774,4986,5191,0.184,0.12
6070,'2019/05/07 18:01:41:017',18,157,334,51,38.117878,-33.882557,44,24,71.708336,59.645832,76.700134,77.571068,1804,4986,5191,0.184,0.12
6071,'2019/05/07 18:01:41:046',18,176,309,44,26.623665,-35.031136,7,25,70.599998,57.540001,75.289436,76.664299,1829,4986,5191,0.184,0.12
6072,'2019/05/07 18:01:41:076',18,245,181,197,93.478439,-173.409286,0,26,75.46154,55.326923,77.821968,75.958267,1859,4986,5191,0.184,0.12
6073,'2019/05/07 18:01:41:098',18,270,115,91,32.234661,-85.09951,106,27,76.037041,57.203705,76.369286,75.118912,1887,4986,5191,0.184,0.12
6074,'2019/05/07 18:01:41:126',18,270,115,0,0,0,91,28,73.321426,58.410713,76.306915,73.990875,1909,4986,5191,0.184,0.12
6075,'2019/05/07 18:01:41:147',18,272,140,27,2.153121,26.914013,27,29,71.724136,57.327587,75.423988,72.891335,1938,4986,5191,0.184,0.12
6076,'2019/05/07 18:01:41:175',18,277,173,38,5.692604,37.571186,5.5,30,70.599998,55.599998,74.367485,72.245911,1958,4986,5191,0.184,0.12
6077,'2019/05/07 18:01:41:196',18,295,337,182,19.856369,180.913589,144,31,74.19355,58.451614,75.805634,72.784416,1987,4986,5191,0.184,0.12
6078,'2019/05/07 18:01:41:213',18,296,415,79,1.012737,78.993507,103,32,74.34375,59.84375,74.577789,72.032646,2007,4986,5191,0.184,0.12
6079,'2019/05/07 18:01:41:243',18,297,496,82,1.012269,81.993752,1.5,33,74.57576,58.075756,73.415359,71.621956,2024,4986,5191,0.184,0.12
6080,'2019/05/07 18:01:41:266',18,297,496,0,0,0,82,34,72.382355,58.779411,73.417038,70.647682,2054,4986,5191,0.184,0.12
6081,'2019/05/07 18:01:41:293',18,297,495,1,0,-1,0.5,35,70.342857,57.114285,73.328819,70.294662,2078,4986,5191,0.184,0.12
6082,'2019/05/07 18:01:41:314',18,327,420,105,38.996021,-97.490051,104,36,71.305557,58.416668,72.50412,69.72245,2105,4986,5191,0.184,0.12
6083,'2019/05/07 18:01:41:345',18,378,279,192,65.306129,-180.552231,43.5,37,74.567566,58.013512,74.192528,68.790993,2125,4986,5191,0.184,0.12
6084,'2019/05/07 18:01:41:362',18,421,140,182,53.787258,-173.870438,10,38,77.394737,56.75,75.229576,68.300583,2156,4986,5191,0.184,0.12
6085,'2019/05/07 18:01:41:394',18,424,130,13,3.735523,-12.451741,169,39,75.743591,59.628204,74.945847,69.751595,2174,4986,5191,0.184,0.12
